"","LOTI","datetime"
"1",-75,1880-01-01
"2",-32,1880-02-01
"3",-40,1880-03-01
"4",-59,1880-04-01
"5",-29,1880-05-01
"6",-42,1880-06-01
"7",-40,1880-07-01
"8",14,1880-08-01
"9",-42,1880-09-01
"10",-60,1880-10-01
"11",-44,1880-11-01
"12",-45,1880-12-01
"13",-69,1881-01-01
"14",-54,1881-02-01
"15",-28,1881-03-01
"16",-20,1881-04-01
"17",3,1881-05-01
"18",-105,1881-06-01
"19",-46,1881-07-01
"20",-18,1881-08-01
"21",-30,1881-09-01
"22",-42,1881-10-01
"23",-50,1881-11-01
"24",-8,1881-12-01
"25",17,1882-01-01
"26",-6,1882-02-01
"27",-3,1882-03-01
"28",-53,1882-04-01
"29",-32,1882-05-01
"30",-97,1882-06-01
"31",-64,1882-07-01
"32",-6,1882-08-01
"33",-2,1882-09-01
"34",-26,1882-10-01
"35",-34,1882-11-01
"36",-61,1882-12-01
"37",-62,1883-01-01
"38",-89,1883-02-01
"39",-40,1883-03-01
"40",-26,1883-04-01
"41",-30,1883-05-01
"42",50,1883-06-01
"43",6,1883-07-01
"44",-9,1883-08-01
"45",-39,1883-09-01
"46",-51,1883-10-01
"47",-63,1883-11-01
"48",-32,1883-12-01
"49",-53,1884-01-01
"50",-28,1884-02-01
"51",-34,1884-03-01
"52",-88,1884-04-01
"53",-114,1884-05-01
"54",-76,1884-06-01
"55",-78,1884-07-01
"56",21,1884-08-01
"57",-30,1884-09-01
"58",-71,1884-10-01
"59",-75,1884-11-01
"60",-92,1884-12-01
"61",-86,1885-01-01
"62",-73,1885-02-01
"63",-85,1885-03-01
"64",-81,1885-04-01
"65",-44,1885-05-01
"66",-88,1885-06-01
"67",-54,1885-07-01
"68",-11,1885-08-01
"69",-9,1885-09-01
"70",2,1885-10-01
"71",-33,1885-11-01
"72",8,1885-12-01
"73",-71,1886-01-01
"74",-77,1886-02-01
"75",-63,1886-03-01
"76",-55,1886-04-01
"77",-50,1886-05-01
"78",-78,1886-06-01
"79",-33,1886-07-01
"80",-69,1886-08-01
"81",-36,1886-09-01
"82",-81,1886-10-01
"83",-44,1886-11-01
"84",-68,1886-12-01
"85",-79,1887-01-01
"86",-119,1887-02-01
"87",-51,1887-03-01
"88",-77,1887-04-01
"89",-79,1887-05-01
"90",-60,1887-06-01
"91",-33,1887-07-01
"92",-19,1887-08-01
"93",-56,1887-09-01
"94",-47,1887-10-01
"95",-85,1887-11-01
"96",-58,1887-12-01
"97",-74,1888-01-01
"98",-79,1888-02-01
"99",-84,1888-03-01
"100",-26,1888-04-01
"101",-70,1888-05-01
"102",-51,1888-06-01
"103",-29,1888-07-01
"104",-32,1888-08-01
"105",-36,1888-09-01
"106",-26,1888-10-01
"107",-7,1888-11-01
"108",-19,1888-12-01
"109",-28,1889-01-01
"110",18,1889-02-01
"111",8,1889-03-01
"112",15,1889-04-01
"113",9,1889-05-01
"114",-23,1889-06-01
"115",-42,1889-07-01
"116",-60,1889-08-01
"117",-36,1889-09-01
"118",-20,1889-10-01
"119",-43,1889-11-01
"120",-38,1889-12-01
"121",-56,1890-01-01
"122",-60,1890-02-01
"123",-60,1890-03-01
"124",-53,1890-04-01
"125",-91,1890-05-01
"126",-55,1890-06-01
"127",-58,1890-07-01
"128",-59,1890-08-01
"129",-32,1890-09-01
"130",-25,1890-10-01
"131",-73,1890-11-01
"132",-49,1890-12-01
"133",-94,1891-01-01
"134",-103,1891-02-01
"135",-51,1891-03-01
"136",-67,1891-04-01
"137",-48,1891-05-01
"138",-55,1891-06-01
"139",-71,1891-07-01
"140",-57,1891-08-01
"141",-49,1891-09-01
"142",-57,1891-10-01
"143",-55,1891-11-01
"144",4,1891-12-01
"145",-60,1892-01-01
"146",-29,1892-02-01
"147",-58,1892-03-01
"148",-69,1892-04-01
"149",-64,1892-05-01
"150",-55,1892-06-01
"151",-33,1892-07-01
"152",-23,1892-08-01
"153",-44,1892-09-01
"154",-31,1892-10-01
"155",-60,1892-11-01
"156",-57,1892-12-01
"157",-140,1893-01-01
"158",-97,1893-02-01
"159",-57,1893-03-01
"160",-63,1893-04-01
"161",-71,1893-05-01
"162",-65,1893-06-01
"163",-11,1893-07-01
"164",-33,1893-08-01
"165",-24,1893-09-01
"166",-7,1893-10-01
"167",-12,1893-11-01
"168",-35,1893-12-01
"169",-83,1894-01-01
"170",-60,1894-02-01
"171",-39,1894-03-01
"172",-62,1894-04-01
"173",-64,1894-05-01
"174",-47,1894-06-01
"175",-35,1894-07-01
"176",-28,1894-08-01
"177",-42,1894-09-01
"178",-7,1894-10-01
"179",-14,1894-11-01
"180",-15,1894-12-01
"181",-67,1895-01-01
"182",-77,1895-02-01
"183",-49,1895-03-01
"184",-45,1895-04-01
"185",-29,1895-05-01
"186",-27,1895-06-01
"187",-49,1895-07-01
"188",-18,1895-08-01
"189",-11,1895-09-01
"190",-7,1895-10-01
"191",-14,1895-11-01
"192",-5,1895-12-01
"193",-21,1896-01-01
"194",-27,1896-02-01
"195",-51,1896-03-01
"196",-46,1896-04-01
"197",-44,1896-05-01
"198",-45,1896-06-01
"199",-19,1896-07-01
"200",-35,1896-08-01
"201",-8,1896-09-01
"202",2,1896-10-01
"203",-43,1896-11-01
"204",-19,1896-12-01
"205",-23,1897-01-01
"206",-49,1897-02-01
"207",-31,1897-03-01
"208",-10,1897-04-01
"209",-26,1897-05-01
"210",-17,1897-06-01
"211",-10,1897-07-01
"212",-31,1897-08-01
"213",-14,1897-09-01
"214",-21,1897-10-01
"215",-2,1897-11-01
"216",-24,1897-12-01
"217",-11,1898-01-01
"218",-45,1898-02-01
"219",-81,1898-03-01
"220",-58,1898-04-01
"221",-64,1898-05-01
"222",-30,1898-06-01
"223",-36,1898-07-01
"224",-26,1898-08-01
"225",-5,1898-09-01
"226",-42,1898-10-01
"227",-47,1898-11-01
"228",-21,1898-12-01
"229",-43,1899-01-01
"230",-60,1899-02-01
"231",-40,1899-03-01
"232",-26,1899-04-01
"233",-42,1899-05-01
"234",-55,1899-06-01
"235",-30,1899-07-01
"236",-29,1899-08-01
"237",-2,1899-09-01
"238",-29,1899-10-01
"239",-3,1899-11-01
"240",-22,1899-12-01
"241",-54,1900-01-01
"242",-3,1900-02-01
"243",-18,1900-03-01
"244",-17,1900-04-01
"245",-16,1900-05-01
"246",-12,1900-06-01
"247",-34,1900-07-01
"248",-17,1900-08-01
"249",-7,1900-09-01
"250",16,1900-10-01
"251",-11,1900-11-01
"252",-6,1900-12-01
"253",-23,1901-01-01
"254",-11,1901-02-01
"255",-12,1901-03-01
"256",-9,1901-04-01
"257",-23,1901-05-01
"258",1,1901-06-01
"259",-24,1901-07-01
"260",-20,1901-08-01
"261",3,1901-09-01
"262",-18,1901-10-01
"263",-14,1901-11-01
"264",-21,1901-12-01
"265",-32,1902-01-01
"266",-4,1902-02-01
