"","year","mean.cnt","sd.cnt","n.records","mean.LOTI","sd.LOTI","n.LOTI"
"1",1880,2.50320512820513,1.47650059356683,312,-41.1666666666667,21.5736932958694,12
"2",1881,3.96378830083565,2.00316038561002,359,-38.9166666666667,29.2153705913151,12
"3",1882,4.47658402203857,2.18138214851629,363,-30.5833333333333,33.0851747445708,12
"4",1883,5.06214689265537,2.52052917707157,354,-32.0833333333333,36.0818723897682,12
"5",1884,5.54076086956522,2.57920239184194,368,-59.8333333333333,36.7543029845321,12
"6",1885,4.3135593220339,2.08202540528583,354,-46.1666666666667,36.7913856847776,12
"7",1886,2.4655737704918,1.47109040809307,305,-60.4166666666667,16.5499702462426,12
"8",1887,1.76653696498054,0.922784970167653,257,-63.5833333333333,26.3592603473733,12
"9",1888,1.29611650485437,0.562819094116279,206,-44.4166666666667,26.1515107623157,12
"10",1889,1.28,0.493174894444219,150,-20,26.2158869251591,12
"11",1890,1.36649214659686,0.642140949186556,191,-55.9166666666667,16.9354836382256,12
"12",1891,3.59312320916905,1.81011168108332,349,-58.5833333333333,26.3902817282607,12
"13",1892,6.36438356164384,2.66877394283795,365,-48.5833333333333,15.7448885404602,12
"14",1893,8.40163934426229,3.12916419161159,366,-51.25,39.5178325684632,12
"15",1894,7.50958904109589,2.8202644050098,365,-41.3333333333333,23.1608342342033,12
"16",1895,5.81743869209809,2.26928191644693,367,-33.1666666666667,23.9880020515307,12
"17",1896,3.3072625698324,1.71678247466525,358,-29.6666666666667,16.9240728674939,12
"18",1897,2.74251497005988,1.724105972288,334,-21.5,12.3840072821214,12
"19",1898,2.46984126984127,1.42817808759403,315,-38.8333333333333,22.1188251099018,12
"20",1899,1.59504132231405,0.830722451133048,242,-31.75,17.8280932544933,12
"21",1900,1.60818713450292,0.954088841626322,171,-14.9166666666667,16.9890784882167,12
"22",1901,1.11428571428571,0.320455162834309,70,-14.25,9.11666805163138,12
"23",1902,1.31067961165049,0.64213379299773,103,-36.5833333333333,15.7391136017788,12
"24",1903,2.49025974025974,1.66685525675543,308,-43.3333333333333,15.6979056700008,12
"25",1904,3.74184782608696,1.84293003845609,368,-54.25,15.1844717332603,12
"26",1905,5.28065395095368,2.77089313245884,367,-37,21.9586388053044,12
"27",1906,5.16666666666667,2.64838206771638,360,-25.5,14.1966705443725,12
"28",1907,5.35989010989011,2.56048290663375,364,-54.8333333333333,11.7383081740036,12
"29",1908,4.68611111111111,2.35766429643729,360,-41.3333333333333,10.7477975192665,12
"30",1909,4.00833333333333,2.2260642661414,360,-42.5833333333333,21.6562329190103,12
"31",1910,2.55333333333333,1.54762377643929,300,-35.5833333333333,16.5004591304349,12
"32",1911,1.53296703296703,0.895976882231233,182,-37.5,19.5331885401604,12
"33",1912,1.28333333333333,0.537396983809253,120,-35.4166666666667,14.0742080890306,12
"34",1913,1.11111111111111,0.317220634287258,54,-34.0833333333333,20.8608303388011,12
"35",1914,1.96396396396396,1.26511085793239,222,-8.25,13.8112273169331,12
"36",1915,5.19220055710306,2.42066185231228,359,-7.25,10.3143765510264,12
"37",1916,6.31129476584022,2.77111366978768,363,-30.6666666666667,20.0333056017556,12
"38",1917,9.61643835616438,3.29264138342509,365,-52,26.1846589367966,12
"39",1918,7.95890410958904,3.03839151057743,365,-43.0833333333333,21.6058002874368,12
"40",1919,6.16164383561644,2.52431201251642,365,-19.1666666666667,10.8194549798318,12
"41",1920,3.85635359116022,2.03877263790909,362,-28.6666666666667,11.048104184004,12
"42",1921,2.82335329341317,1.5793124328944,334,-17.1666666666667,12.1792172709634,12
"43",1922,2.1046511627907,1.51281737655412,258,-25.9166666666667,12.9014328544146,12
"44",1923,1.25773195876289,0.514622463669476,194,-27.9166666666667,15.5882142736884,12
"45",1924,2.18518518518519,1.16124010872613,270,-23.1666666666667,12.9813385871855,12
"46",1925,4.96531791907514,3.25335225776848,346,-26.0833333333333,19.1047749068767,12
"47",1926,6.07142857142857,2.45069442969159,364,-4.58333333333333,21.1034608679728,12
"48",1927,6.49041095890411,2.70693880385051,365,-18.4166666666667,16.6321612509856,12
"49",1928,7.13934426229508,2.70255761289594,366,-10.9166666666667,18.0225027690553,12
"50",1929,6.61095890410959,3.02224180146927,365,-34.1666666666667,17.0551689489957,12
"51",1930,3.86149584487535,2.51941064109345,361,-16.0833333333333,10.0223235677646,12
"52",1931,2.41795665634675,1.31943881750787,323,-8.83333333333333,13.3541504160068,12
"53",1932,1.71897810218978,0.932445903072182,274,-12,21.1144069729221,12
"54",1933,1.7175572519084,1.05447624009637,131,-24.0833333333333,12.9155180329945,12
"55",1934,1.53181818181818,0.813070376480926,220,-10.25,15.0461411543413,12
"56",1935,3.75,2.10684017196466,344,-21.8333333333333,19.5161161064077,12
"57",1936,7.3732970027248,2.9326959894847,367,-9.08333333333333,19.5376481944398,12
"58",1937,10.1229508196721,3.88162768186084,366,0.0833333333333333,15.7159926266979,12
"59",1938,9.31780821917808,3.11991751377972,365,6.41666666666667,13.6412365030936,12
"60",1939,7.92328767123288,2.8936516602304,365,-9.5,17.1490789575099,12
"61",1940,5.78688524590164,2.11930270852398,366,7.91666666666667,10.8498708273277,12
"62",1941,4.12605042016807,1.71520606018966,357,3.83333333333333,13.1483378371104,12
"63",1942,2.91379310344828,1.86536287474497,348,5.33333333333333,7.35259179205578,12
"64",1943,1.57142857142857,0.751098679648426,315,0.833333333333333,15.1887119169787,12
"65",1944,1.78743961352657,1.10744905643461,207,5.58333333333333,14.9451015589075,12
"66",1945,3.14245014245014,1.76544409053157,351,-7.5,17.2653094119656,12
"67",1946,7.75409836065574,2.63166640912727,366,-7,9.96357000641473,12
"68",1947,11.7753424657534,3.87496121291888,365,5.66666666666667,12.4340685459772,12
"69",1948,10.6338797814208,3.42870233478738,366,-8.75,13.3425157774959,12
"70",1949,10.6931506849315,3.06237037254808,365,-13.0833333333333,11.3173907475766,12
"71",1950,6.44475138121547,3.00110553389115,362,-23.1666666666667,9.38890383119963,12
"72",1951,5.1267217630854,2.23122665201153,363,-7.66666666666667,18.4801285578632,12
"73",1952,2.81578947368421,1.58196835041257,342,-2.33333333333333,11.6722930156171,12
"74",1953,1.98617511520737,1.15662048688158,217,6.58333333333333,6.20056204686073,12
"75",1954,1.28682170542636,0.627417803999212,129,-13,12.6706532801373,12
"76",1955,3.696875,2.2891298774013,320,-10.8333333333333,17.076476820646,12
"77",1956,10.4371584699454,3.72773927773439,366,-21.8333333333333,8.3756501330652,12
"78",1957,13.3013698630137,3.59519265217208,365,3.83333333333333,11.7846844624193,12
